Matricula,Admissão,Sindicato do Colaborador,Competência,Dias,VALOR DIÁRIO VR,TOTAL,Custo empresa,Desconto profissional,OBS GERAL
34941,,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.,2025-06,22,37.5,825.0,660.0,165.0,Trabalhando
24401,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
32104,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35254,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
31731,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
31009,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
28979,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
24122,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35149,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
25022,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
32130,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
32213,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
34597,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
25314,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
31868,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
26314,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
32337,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
33856,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
33883,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
33395,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
28996,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35132,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
32031,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35177,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35182,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35224,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35390,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35633,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
31795,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35136,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
31269,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
25251,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
23499,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
26927,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
33708,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
33595,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35360,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
26182,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
29033,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
31494,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
31963,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
32975,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
33832,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35199,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
31505,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
26859,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
34686,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
30609,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35178,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35712,01/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35745,14/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
29342,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
30025,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
33111,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
31646,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
25619,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
32030,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35693,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
32751,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35485,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35201,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
32761,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35675,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
25528,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
31872,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35538,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35561,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35651,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35691,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35717,01/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
26846,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35750,14/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35655,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
32073,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
34825,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35362,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
30567,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
32099,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35705,07/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35768,22/04/2025,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,17,35.0,595.0,476.0,119.0,Trabalhando | Admissão em 22/04/2025
26051,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
34113,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
35549,,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,2025-06,22,35.0,770.0,616.0,154.0,Trabalhando
